# File written from OrientationAnalysis Version 6.5.171.b0b162591
# DateTime: Fri Mar 6 11:31:15 2026
# X_STEP: 1.000000
# Y_STEP: 1.000000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 100.000000
# Y_MAX: 100.000000
# Z_MAX: 0.000000
#
# X_DIM: 100
# Y_DIM: 100
# Z_DIM: 0
#
# Phase_1: Primary
# Symmetry_1: 43
# Features_1: 10
#
# Num_Features: 10 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry
1.876906 1.069354 0.211030 52.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 53.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 54.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 55.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 56.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 57.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 58.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 59.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 60.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 61.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 62.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 63.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 64.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 65.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 66.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 67.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 68.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 69.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 70.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 71.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 72.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 73.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 74.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 75.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 76.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 77.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 78.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 79.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 80.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 81.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 82.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 83.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 84.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 85.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 86.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 87.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 88.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 89.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 90.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 91.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 92.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 93.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 94.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 95.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 96.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 97.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 98.500000 2.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 99.500000 2.500000 0.000000 9 1 43
3.091367 1.054778 4.399554 0.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 1.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 2.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 3.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 4.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 5.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 6.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 7.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 8.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 9.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 10.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 11.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 12.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 13.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 14.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 15.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 16.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 17.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 18.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 19.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 20.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 21.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 22.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 23.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 24.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 25.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 26.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 27.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 28.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 29.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 30.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 31.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 32.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 33.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 34.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 35.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 36.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 37.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 38.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 39.500000 3.500000 0.000000 7 1 43
3.091367 1.054778 4.399554 40.500000 3.500000 0.000000 7 1 43
1.876906 1.069354 0.211030 41.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 42.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 43.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 44.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 45.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 46.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 47.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 48.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 49.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 50.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 51.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 52.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 53.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 54.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 55.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 56.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 57.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 58.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 59.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 60.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 61.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 62.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 63.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 64.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 65.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 66.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 67.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 68.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 69.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 70.500000 3.500000 0.000000 9 1 43
1.876906 1.069354 0.211030 71.500000 3.500000 0.000000 9 1 43
